Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
CAGRIN,True,False,False,True,True
CAHKII,True,True,True,True,True
CAMHAD,True,True,True,True,True
CAMHEH,True,True,True,True,True
CAMHIL,True,True,True,True,True
CAMHOR,True,True,True,True,True
CAMJAF,True,True,True,True,True
CAMJEJ,True,True,True,True,True
CAMJIN,True,True,True,True,True
CAMJOT,True,True,True,True,True
CAMKAG,False,True,True,True,True
CAMKEK,True,True,True,True,True
CAMQOZ,False,True,True,True,True
CAMWAQ,False,False,False,True,True
CAMWAQ01,False,False,False,True,True
CAMWAQ02,False,False,False,True,True
CAMWAQ03,False,False,False,True,True
CAMWAQ04,False,False,False,True,True
CAMWAQ05,False,False,False,True,True
CANLEM,False,False,False,True,True
CANWAR,False,True,True,True,True
CAPBAY,False,True,True,True,True
CAPBEC,True,True,True,True,True
CARBIJ,False,True,True,True,True
CARBIJ01,False,True,True,True,True
CARREU,False,True,True,True,True
CARXAX,False,True,True,True,True
CASMIT,False,True,True,True,True
CAXHIS,False,True,True,True,True
CAXHIS01,False,True,True,True,True
CAXHOC,True,True,True,True,True
CAXJAQ,False,True,True,True,True
CBZANT20,False,True,True,True,True
CEBJOL,False,True,True,True,True
CEBJUR,False,True,True,True,True
CEDFUN,False,True,True,True,True
CEDXOB,False,True,True,True,True
CEJLOT,False,True,True,True,True
CEJLUZ,False,True,True,True,True
CEJMAG,False,True,True,True,True
CEJMEK,False,True,True,True,True
CEJMIO,False,True,True,True,True
CEJMOU,False,True,True,True,True
CEKGAB,False,True,True,True,True
CEKGEF,True,True,True,True,True
CEKGIJ,False,True,True,True,True
CEKGIL,True,True,True,True,True
CEKGUX,True,True,True,True,True
CEKHAE,False,True,True,True,True
CEKNAI,False,True,True,True,True
CELQIV,True,True,True,True,True
CELXEZ,False,True,True,True,True
CELXID,False,True,True,True,True
CELXOJ,False,True,True,True,True
CELXUP,True,True,True,True,True
CELYAW,True,True,True,True,True
CEMNAM,True,True,True,True,True
CEPCIK,True,True,True,True,True
CEPCOQ,True,True,True,True,True
CEQGEL,False,True,True,True,True
CEQGEL01,False,True,True,True,True
CESZEG,False,True,True,True,True
CESZIK,False,True,True,True,True
CETDUB,False,True,True,True,True
CETEAN10,True,True,True,True,True
CETMAN,False,True,True,True,True
CETQOJ,False,False,False,True,True
CETQUP,False,False,False,True,True
CETREZ,True,False,False,True,True
CETRID,True,True,True,True,True
CETROJ,True,True,True,True,True
CEWHES,False,True,True,True,True
CEWSUU,True,True,True,True,True
CEWTAB,False,True,True,True,True
CEWTEF,True,True,True,True,True
CEWXUY,False,True,True,True,True
CEXQON,True,True,True,True,True
CEXQUT,False,True,True,True,True
CEYGOD,False,True,True,True,True
CEYREF,False,False,False,True,True
CEYZEO,True,True,True,True,True
CEYZIS,True,True,True,True,True
CEYZOY,True,True,True,True,True
CEYZUE,True,True,True,True,True
CICDEY,False,True,True,True,True
CIFMAG,False,False,False,True,True
CIFMEK,False,False,False,True,True
CIGDED,False,True,True,True,True
CIJKAJ,False,True,True,True,True
CILMIW,True,True,True,True,True
CILMOC,True,True,True,True,True
CIMBIL,True,True,True,True,True
CIMBOR,True,True,True,True,True
CIMBUX,True,True,True,True,True
CIMCAE,False,True,True,True,True
CIMDUZ,False,True,True,True,True
CIMFAH,False,True,True,True,True
CIMKOB,False,True,True,True,True
CIMKOB01,False,True,True,True,True
CIMNOE,True,True,True,True,True
CIMNUK,False,True,True,True,True
CINLAO,True,True,True,True,True
CINPUN,False,True,True,True,True
CIPFOW,False,True,True,True,True
CIPYIL,True,True,True,True,True
CIPYOR,False,True,True,True,True
CIPYUX,False,True,True,True,True
CIPZAE,False,True,True,True,True
CIPZEI,False,True,True,True,True
CIQDUD,False,True,True,True,True
CIQMEX,True,True,True,True,True
CIQMIB,False,True,True,True,True
CIQMOH,True,True,True,True,True
CIQTAA,True,True,True,True,True
CIRLEV,False,True,True,True,True
CISYOU,True,True,True,True,True
CISYUA,False,True,True,True,True
CISZAH,True,True,True,True,True
CISZEL,False,True,True,True,True
CITBIR,False,True,True,True,True
CIVMOJ10,False,True,True,True,True
CIWBOC,True,True,True,True,True
CIWBUI,True,True,True,True,True
CIWCAP,False,False,False,True,True
CIYNAB,False,True,True,True,True
CIYNAB01,False,False,False,True,True
CIYSIN,False,True,True,True,True
CIYSOT,False,True,True,True,True
CIYXUF,False,True,True,True,True
CIYYAM,False,True,True,True,True
CIZCEU,False,True,True,True,True
CIZCIY,False,False,False,True,True
CIZCOE,False,True,True,True,True
CIZCUK,True,False,False,True,True
CIZDAR,False,True,True,True,True
CIZDEV,True,True,True,True,True
CIZDIZ,False,True,True,True,True
COFZUU,False,False,False,True,True
COGBAD,False,True,True,True,True
COGBEH,False,False,False,True,True
COGBIL,False,False,False,True,True
COGLOC,True,False,False,True,True
COGLUI,True,False,False,True,True
COGWUT,True,True,True,True,True
COGWUT01,False,True,True,True,True
COLQAY,False,True,True,True,True
CONKIC,True,True,True,True,True
CONKOI,True,True,True,True,True
CONKUO,True,True,True,True,True
CONYEM,True,True,True,True,True
COSHOK,False,False,False,True,True
COWNUZ,False,True,True,True,True
CPNPCN,False,True,True,True,True
CUMRUA,True,True,True,True,True
CUNQAF,False,True,True,True,True
CUQCUP,False,True,True,True,True
CUQDAW,True,True,True,True,True
CUXKUE,True,True,True,True,True
CUXLEP,True,True,True,True,True
CUXLIT,True,True,True,True,True
DAFDAT,True,True,True,True,True
DAQKUE,True,True,True,True,True
DASTEZ,True,True,True,True,True
DASTID,True,True,True,True,True
DATVUR,True,True,True,True,True
DATWAY,False,True,True,True,True
DATZUW,True,True,True,True,True
DAZBUF,True,True,True,True,True
DAZVUZ,True,False,False,True,True
DAZZEK,False,True,True,True,True
DBPERY,False,True,True,True,True
DBZCOR,False,True,True,True,True
DEDCUN,False,True,True,True,True
DEDCUN01,False,True,True,True,True
DEDDEY,False,True,True,True,True
DEDDEY01,False,True,True,True,True
DEDDIC,False,True,True,True,True
DEDDIC01,False,True,True,True,True
